% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=580217, Mon Oct  7 17:41:39 2019
103 1339 -0.3047732671240121 -0.0002050792470160854 4.3748112029192525e-05 0.24605410462916474 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
104 1352 -0.3045525353536433 -1.7137679693728562e-05 4.8488911560995104e-05 0.2466764543083935 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
105 1365 -0.306922859549637 -9.265110716995995e-05 4.50528555471023e-06 0.2326435740182073 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
106 1378 -0.32466661072409203 -1.9116827024408054e-05 1.8579434076603336e-05 0.22669298193165377 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
107 1391 -0.3335334713305224 -0.00010111516860713594 0.0002482398588102878 0.24862408309254486 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
108 1404 -0.34231539482540585 -0.00010854541490941086 0.00029574697352397747 0.25748902731264905 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
109 1417 -0.3564241600317265 -0.0001231719641413434 0.0001986174775450804 0.2560099550676157 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
110 1430 -0.34991463088543107 -8.768951040964538e-05 0.000305728487929991 0.258539542471343 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
111 1443 -0.3480738752235815 -0.00021909540479446822 0.00016305028914142487 0.2628663398450022 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
112 1456 -0.34735843178580883 -8.252320678040908e-05 0.0002364257435590036 0.25172296249302406 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
113 1469 -0.34991537679980694 -0.00020793582405272023 0.00018254730900803365 0.2494085802078757 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
114 1482 -0.3596519911424738 -0.00018048063099694497 0.0002691526340407959 0.2620460505369675 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
115 1495 -0.3709298230177035 -0.00021533083465601622 0.00013914230258322584 0.24976326190700437 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
116 1508 -0.37514380731369995 -0.00019955726349365485 0.0002582951944278385 0.2547663121372362 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
117 1521 -0.36557427985112356 -8.307948773541227e-05 0.0002517302273384661 0.24580649149027411 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
118 1534 -0.3820194063368327 -0.0002754985126637255 0.00027547340711528304 0.2497595790703431 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
119 1547 -0.3946784073952011 -0.00021113673921312285 0.00021411243564522833 0.26140094950677956 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
120 1560 -0.3844225999211653 -0.00013814564641625803 0.0002816013444778643 0.2579049161928456 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
121 1573 -0.3690680266748978 -7.601512829177015e-05 0.00014203047305152858 0.26497231939559623 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
122 1586 -0.36298121205002 -3.05970253506432e-05 0.00024035523751712152 0.27703286949361594 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
123 1599 -0.36722157610486544 -7.098371760299968e-05 0.00015400687510063425 0.27421852635816735 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
124 1612 -0.3588597868530666 -6.487834332607595e-05 3.6655491895565107e-06 0.2581765556283364 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
125 1625 -0.37051122106503565 -3.8899954195747614e-06 0.00029736560832523064 0.25095112594163704 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
126 1638 -0.3716866308788302 -0.0001588674148145593 2.489626815091624e-05 0.25980094188810005 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
127 1651 -0.37170175178189896 -8.230633864622405e-05 1.957470494890867e-06 0.24794012737963098 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
128 1664 -0.358803965767616 -6.209203028716058e-05 4.989600736921972e-05 0.24172866496679404 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
129 1677 -0.3528510591320381 -3.106958886548729e-05 0.0001546283244985751 0.2422150609750867 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
130 1690 -0.3558872503879865 -0.00011429040188743527 6.031112211342443e-06 0.2424924716590723 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
131 1703 -0.34921918169402316 -2.3309736775883213e-05 2.1409155255839748e-05 0.23577108808510955 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
132 1716 -0.3556121856378739 -5.4824615892688075e-05 8.343032935094572e-05 0.23430178028598483 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
133 1729 -0.36101994391185144 -3.8285860809174785e-05 0.0001109683772353402 0.23204759147908086 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
134 1742 -0.3602198582743336 -0.0003745189169675074 8.107917406086143e-05 0.22503809372879707 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
135 1755 -0.3641718146290927 -9.679465337192078e-05 0.000170462018361148 0.21501747250656278 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
136 1768 -0.3635593965441136 -1.131918991629524e-05 0.00015046824219662933 0.2150016518753768 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
137 1781 -0.3632749407303478 -1.2680438164544055e-05 0.0002133108161450783 0.21829376553713006 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
138 1794 -0.37867825255280885 -0.00012851937784049813 2.2746346774419583e-05 0.21558066879324586 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
139 1807 -0.3852791792860334 -0.00010455433521710828 0.0003068708414100437 0.21598318991831633 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
140 1820 -0.3848841282499979 -6.440302797937667e-05 0.0001617351205793045 0.2143287327564042 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
141 1833 -0.3975021943065446 -5.854762091813786e-05 1.7196296659711895e-05 0.21722161448072938 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
142 1846 -0.41221989852128005 -7.897486274480475e-05 1.5742263361162894e-05 0.20323643943897954 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
143 1859 -0.4234354924850839 -0.00015111981579613205 1.7166886082047347e-05 0.21445284039616666 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
144 1872 -0.4206810138690481 -5.334622076561912e-05 0.0002709570038160101 0.21773395171328652 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
145 1885 -0.4268121393301303 -8.74909037634047e-05 0.00024290034860588862 0.22353596975785206 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
146 1898 -0.41254765680938327 -8.10959250289502e-05 8.052199965602445e-06 0.22539773447011777 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
147 1911 -0.41258712572693224 -8.788778734428973e-05 7.092283293128412e-05 0.21703768708186194 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
148 1924 -0.3973783103110676 -4.983749400247165e-05 2.0196383061503247e-05 0.22157880029716867 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
149 1937 -0.40021813152543745 -7.673904780117468e-05 2.5997449531281152e-05 0.2208887459028048 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
150 1950 -0.4233970133406913 -0.00012158144650706387 3.1473787034660556e-05 0.20902357384836065 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
151 1963 -0.42902911980403524 -2.9142799486422967e-05 3.991877624951136e-05 0.21630948736458536 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
152 1976 -0.43461587208294633 -4.0896260000426146e-05 4.26925763552474e-05 0.22529572444597804 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
153 1989 -0.43370921631602716 -7.916763260917042e-05 3.097710340121997e-05 0.2352281277914515 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
154 2002 -0.4208290009986936 -5.820655152015087e-05 9.429490329693809e-05 0.21693523116324728 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
